streptococcus_initial_strain_cfu_ml,lactobacillus_initial_strain_cfu_ml,ideal_temperature_c,minimum_milk_proteins,titratable_acidity,pH_milk_sour_,fat_milk_over_100mg_,quality_product,lactobacillus_final_cfu_ml,streptococcus_final_cfu_ml,quality_product_
4.833,5.8870000000000005,41.715,2.487,1.124,4.503,2.1086,Low fat yogurt,9.88,8.11,0
4.689,4.821000000000001,40.839,2.56,1.105,4.43,1.1539,Low fat yogurt,8.09,7.87,0
5.8020000000000005,5.412000000000001,41.638999999999996,2.6,1.178,4.494,1.105,Low fat yogurt,9.08,9.73,0
4.246,5.148,41.315,2.654,1.166,4.467,1.4642,Low fat yogurt,8.64,7.12,0
4.035,5.48,40.165,2.495,0.977,4.523,2.0128,Low fat yogurt,9.19,6.77,0
4.383,5.101,41.931000000000004,2.5469999999999997,1.145,4.552,3.1652,Low fat yogurt,8.56,7.35,0
5.942,5.7139999999999995,40.864000000000004,2.48,1.177,4.5,1.8211,Low fat yogurt,9.59,9.97,0
5.037,5.0489999999999995,40.293,2.5180000000000002,1.123,4.439,1.3497,Low fat yogurt,8.47,8.45,0
5.556,4.662,41.79,2.416,1.112,4.505,1.76,Low fat yogurt,7.82,9.32,0
5.0569999999999995,5.917000000000001,41.86,2.503,1.082,4.445,1.1672,Low fat yogurt,9.93,8.48,0
5.189,4.691,41.318999999999996,2.492,1.088,4.476,3.3560000000000003,Regular yogurt,7.87,8.71,2
5.847,4.755,40.735,2.608,0.985,4.555,3.2949,Regular yogurt,7.98,9.81,2
5.992000000000001,4.103,40.964,2.5180000000000002,0.9640000000000001,4.504,1.1738,Low fat yogurt,6.88,10.05,0
4.365,5.667999999999999,40.241,2.639,1.044,4.5569999999999995,3.7128,Regular yogurt,9.51,7.32,2
5.042,4.3839999999999995,41.42,2.5989999999999998,1.014,4.404,3.194,Low fat yogurt,7.36,8.46,0
5.638999999999999,4.393,41.881,2.516,0.993,4.492,1.9018,Low fat yogurt,7.37,9.46,0
5.2620000000000005,4.083,40.798,2.682,0.971,4.572,2.6932,Low fat yogurt,6.85,8.83,0
4.496,5.555,41.17,2.505,1.04,4.457,1.2009999999999998,Low fat yogurt,9.32,7.54,0
5.664,5.53,41.34,2.5839999999999996,1.151,4.525,3.7755,Regular yogurt,9.28,9.5,2
5.33,4.365,41.735,2.574,1.091,4.47,1.7753,Low fat yogurt,7.32,8.94,0
4.97,5.895,40.059,2.495,1.095,4.599,3.2959,Regular yogurt,9.89,8.34,2
5.018,4.399,41.848,2.504,1.054,4.515,3.5263,Regular yogurt,7.38,8.42,2
4.45,5.99,40.198,2.6260000000000003,1.0070000000000001,4.516,3.9695,Regular yogurt,10.05,7.47,2
4.737,5.277,41.925,2.6689999999999996,1.189,4.547,3.1131,Low fat yogurt,8.85,7.95,0
4.561,5.445,40.396,2.693,1.1059999999999999,4.467,2.9429,Low fat yogurt,9.14,7.65,0
5.882000000000001,5.032,40.19,2.681,1.092,4.573,3.0662,Low fat yogurt,8.44,9.87,0
5.307,4.143,40.966,2.525,0.966,4.555,3.0708,Low fat yogurt,6.95,8.9,0
4.232,4.271,41.851000000000006,2.645,1.008,4.505,2.1118,Low fat yogurt,7.17,7.1,0
4.797,5.1579999999999995,40.344,2.596,1.143,4.413,1.675,Low fat yogurt,8.65,8.05,0
5.395,4.688,41.993,2.5180000000000002,1.04,4.455,3.3959,Regular yogurt,7.87,9.05,2
5.976,4.848,41.037,2.469,1.1320000000000001,4.456,2.465,Low fat yogurt,8.13,10.03,0
4.936,4.718999999999999,41.541000000000004,2.653,1.129,4.562,3.7804,Regular yogurt,7.92,8.28,2
5.031000000000001,5.152,41.248999999999995,2.595,1.036,4.427,1.76,Low fat yogurt,8.64,8.44,0
4.457,5.112,41.365,2.678,1.187,4.5760000000000005,1.5032,Low fat yogurt,8.58,7.48,0
5.912000000000001,4.522,40.245,2.545,0.973,4.5969999999999995,1.5965,Low fat yogurt,7.59,9.92,0
4.9830000000000005,5.876,41.633,2.6889999999999996,1.1540000000000001,4.583,3.3408,Regular yogurt,9.86,8.36,2
5.777,5.746,41.549,2.535,1.0190000000000001,4.448,1.4212,Low fat yogurt,9.64,9.69,0
5.61,4.079,40.088,2.428,0.9740000000000001,4.48,3.3714,Regular yogurt,6.84,9.41,2
5.687,4.275,41.881,2.435,1.015,4.4239999999999995,2.665,Low fat yogurt,7.17,9.54,0
5.136,4.936,40.325,2.559,1.02,4.458,3.8992,Regular yogurt,8.28,8.62,2
4.275,5.874,41.591,2.5669999999999997,1.089,4.493,2.3873,Low fat yogurt,9.85,7.17,0
5.39,4.455,40.961000000000006,2.622,1.178,4.4719999999999995,2.2132,Low fat yogurt,7.47,9.04,0
5.183,5.922000000000001,41.393,2.475,1.097,4.586,2.1352,Low fat yogurt,9.94,8.7,0
4.412,4.187,40.835,2.697,1.111,4.57,1.1419,Low fat yogurt,7.02,7.4,0
4.229,5.809,40.17,2.423,1.068,4.433,3.3869,Regular yogurt,9.75,7.1,2
4.02,4.7780000000000005,41.083,2.491,0.972,4.423,2.24,Low fat yogurt,8.02,6.74,0
5.178,4.438,41.946000000000005,2.428,1.089,4.449,3.8296,Regular yogurt,7.45,8.69,2
4.317,4.593999999999999,40.311,2.509,0.9690000000000001,4.455,2.4803,Low fat yogurt,7.71,7.24,0
5.736000000000001,5.985,41.283,2.638,1.033,4.596,2.4512,Low fat yogurt,10.04,9.62,0
4.669,5.331,41.038000000000004,2.628,1.0290000000000001,4.438,1.4813,Low fat yogurt,8.94,7.83,0
5.662000000000001,4.88,40.024,2.4730000000000003,0.973,4.405,3.1432,Low fat yogurt,8.19,9.5,0
5.952999999999999,5.442,41.052,2.6430000000000002,1.0090000000000001,4.45,3.0948,Low fat yogurt,9.13,9.99,0
4.317,5.354,41.688,2.419,1.022,4.498,3.7761,Regular yogurt,8.98,7.24,2
5.723,4.694,40.955,2.6189999999999998,1.1840000000000002,4.581,3.7913,Regular yogurt,7.88,9.6,2
5.117,4.364,41.802,2.537,1.064,4.503,2.2899,Low fat yogurt,7.32,8.58,0
5.523,4.593,40.096,2.645,0.988,4.559,1.464,Low fat yogurt,7.71,9.27,0
5.621,4.94,40.089,2.461,0.9690000000000001,4.477,1.9873,Low fat yogurt,8.29,9.43,0
5.971,5.4239999999999995,40.621,2.533,1.099,4.512,2.1044,Low fat yogurt,9.1,10.02,0
4.946000000000001,4.181,41.63399999999999,2.6839999999999997,1.145,4.48,3.4288,Regular yogurt,7.01,8.3,2
4.417,4.791,40.296,2.485,1.09,4.553999999999999,3.32,Regular yogurt,8.04,7.41,2
5.182,4.31,41.403999999999996,2.6189999999999998,1.122,4.505,1.8764,Low fat yogurt,7.23,8.69,0
5.557,4.833,40.408,2.404,1.073,4.458,1.9117,Low fat yogurt,8.11,9.32,0
4.4830000000000005,5.034,41.269,2.459,1.149,4.44,3.1919999999999997,Low fat yogurt,8.45,7.52,0
5.275,4.744,41.68899999999999,2.412,0.96,4.486000000000001,3.4255,Regular yogurt,7.96,8.85,2
4.1080000000000005,4.5169999999999995,40.625,2.477,1.121,4.571000000000001,2.8513,Low fat yogurt,7.58,6.89,0
4.495,5.529,40.577,2.677,1.015,4.438,2.4831,Low fat yogurt,9.28,7.54,0
4.073,4.942,41.27,2.434,1.109,4.596,2.0591,Low fat yogurt,8.29,6.83,0
4.512,4.606,41.968999999999994,2.417,1.078,4.463,1.0595,Non fat yogurt,7.73,7.57,1
5.247999999999999,4.1739999999999995,41.17,2.576,1.188,4.565,1.4121,Low fat yogurt,7.0,8.8,0
5.524,5.091,40.808,2.5580000000000003,1.111,4.58,3.4267,Regular yogurt,8.54,9.27,2
5.686,4.525,41.195,2.565,1.13,4.48,1.5888,Low fat yogurt,7.59,9.54,0
4.295,4.935,41.16,2.485,0.978,4.468,1.1314,Low fat yogurt,8.28,7.21,0
4.122,5.44,41.94,2.451,1.1640000000000001,4.581,1.0369,Non fat yogurt,9.13,6.92,1
4.5569999999999995,4.053,41.711999999999996,2.536,1.173,4.502,1.369,Low fat yogurt,6.8,7.65,0
4.154,5.367999999999999,41.817,2.44,1.056,4.5680000000000005,1.3426,Low fat yogurt,9.01,6.97,0
5.087,4.211,41.621,2.662,1.0959999999999999,4.42,3.3273,Regular yogurt,7.06,8.53,2
5.181,4.539,41.335,2.425,1.148,4.5280000000000005,2.4607,Low fat yogurt,7.62,8.69,0
5.602,4.28,40.405,2.57,1.1740000000000002,4.406000000000001,3.5037,Regular yogurt,7.18,9.4,2
4.204,4.207,41.431999999999995,2.642,1.189,4.4030000000000005,2.8708,Low fat yogurt,7.06,7.05,0
4.605,4.739,40.728,2.5380000000000003,1.1179999999999999,4.588,2.3887,Low fat yogurt,7.95,7.73,0
5.97,4.749,41.532,2.428,1.011,4.513999999999999,2.8953,Low fat yogurt,7.97,10.02,0
4.371,4.066,40.715,2.695,1.03,4.481,3.6127,Regular yogurt,6.82,7.33,2
4.6819999999999995,4.494,40.388000000000005,2.512,1.187,4.511,2.4076,Low fat yogurt,7.54,7.86,0
5.247000000000001,5.787000000000001,41.663000000000004,2.411,1.111,4.431,3.0621,Low fat yogurt,9.71,8.8,0
5.522,4.414,40.913000000000004,2.6889999999999996,0.995,4.587,1.4429,Low fat yogurt,7.41,9.26,0
4.446000000000001,5.141,40.953,2.602,1.069,4.571000000000001,2.9224,Low fat yogurt,8.63,7.46,0
4.121,5.685,40.891,2.4330000000000003,1.031,4.487,3.6671,Regular yogurt,9.54,6.91,2
5.539,5.771,41.978,2.637,0.9590000000000001,4.5969999999999995,1.3494,Low fat yogurt,9.68,9.29,0
4.813,5.532,41.641000000000005,2.483,1.1640000000000001,4.519,1.7441,Low fat yogurt,9.28,8.07,0
4.937,4.664,41.888999999999996,2.657,0.953,4.516,1.6874,Low fat yogurt,7.82,8.28,0
4.705,5.587000000000001,41.224,2.479,1.05,4.502,1.7281,Low fat yogurt,9.37,7.89,0
5.837999999999999,5.986000000000001,40.576,2.501,0.968,4.4719999999999995,3.3247,Regular yogurt,10.04,9.79,2
4.043,5.582999999999999,40.464,2.638,1.0290000000000001,4.423,2.8293,Low fat yogurt,9.37,6.78,0
4.497,5.26,41.692,2.535,1.06,4.593999999999999,1.5426,Low fat yogurt,8.82,7.54,0
4.6080000000000005,5.2010000000000005,41.232,2.4530000000000003,0.9890000000000001,4.562,1.2781,Low fat yogurt,8.73,7.73,0
5.388,4.745,40.195,2.556,1.051,4.5089999999999995,1.9083,Low fat yogurt,7.96,9.04,0
4.3389999999999995,5.709,40.66,2.489,0.983,4.543,1.3169,Low fat yogurt,9.58,7.28,0
5.22,5.7410000000000005,40.544000000000004,2.625,1.151,4.567,3.502,Regular yogurt,9.63,8.76,2
4.083,5.992999999999999,40.74,2.67,0.951,4.49,2.0128,Low fat yogurt,10.05,6.85,0
4.0489999999999995,5.744,40.801,2.479,1.057,4.425,2.6242,Low fat yogurt,9.64,6.79,0
4.902,5.854,41.202,2.5780000000000003,1.141,4.496,3.9393,Regular yogurt,9.82,8.22,2
5.07,4.9239999999999995,40.03,2.492,1.107,4.511,3.5849,Regular yogurt,8.26,8.51,2
4.177,5.409,40.328,2.485,1.084,4.551,2.4505,Low fat yogurt,9.07,7.01,0
4.623,5.906000000000001,41.202,2.531,1.071,4.406000000000001,3.9810000000000003,Regular yogurt,9.91,7.76,2
4.49,5.334,41.745,2.47,1.06,4.593,3.2984,Regular yogurt,8.95,7.53,2
4.379,4.415,40.106,2.546,1.175,4.43,3.0972,Low fat yogurt,7.41,7.35,0
4.03,4.349,41.85,2.653,1.005,4.4910000000000005,2.8576,Low fat yogurt,7.3,6.76,0
4.899,4.795,40.65,2.463,1.0979999999999999,4.593999999999999,2.1069999999999998,Low fat yogurt,8.04,8.22,0
5.052,4.916,40.313,2.6519999999999997,0.968,4.505,1.8211,Low fat yogurt,8.25,8.48,0
5.89,5.193,41.96,2.573,1.123,4.489,3.7762,Regular yogurt,8.71,9.88,2
4.446000000000001,5.9270000000000005,40.016999999999996,2.63,0.982,4.468999999999999,2.9045,Low fat yogurt,9.94,7.46,0
5.129,5.454,41.2,2.589,1.1640000000000001,4.583,3.8607,Regular yogurt,9.15,8.61,2
4.715,5.686,41.662,2.515,1.015,4.567,3.7998,Regular yogurt,9.54,7.91,2
5.886,5.9079999999999995,41.077,2.611,0.97,4.596,2.3465,Low fat yogurt,9.91,9.88,0
5.728,5.309,40.211,2.502,0.98,4.468999999999999,3.8197,Regular yogurt,8.91,9.61,2
5.932,4.125,41.446999999999996,2.6310000000000002,1.0270000000000001,4.474,1.9394,Low fat yogurt,6.92,9.95,0
4.124,4.84,40.427,2.469,1.125,4.592,1.8759,Low fat yogurt,8.12,6.92,0
5.01,4.007,41.496,2.64,1.004,4.58,3.7243,Regular yogurt,6.72,8.41,2
5.914,5.569,40.62,2.457,1.012,4.59,1.2615,Low fat yogurt,9.34,9.92,0
5.872999999999999,5.275,41.5,2.6310000000000002,0.985,4.591,3.6497,Regular yogurt,8.85,9.85,2
5.422000000000001,4.757,40.727,2.61,1.124,4.4719999999999995,1.1321,Low fat yogurt,7.98,9.1,0
4.761,5.995,41.062,2.4330000000000003,1.025,4.56,3.1755,Low fat yogurt,10.06,7.99,0
5.492999999999999,5.944,40.363,2.492,0.972,4.439,1.1149,Low fat yogurt,9.97,9.22,0
4.543,4.341,41.113,2.501,1.0,4.471,1.5572,Low fat yogurt,7.28,7.62,0
4.625,5.31,41.195,2.6710000000000003,1.0290000000000001,4.531000000000001,2.8479,Low fat yogurt,8.91,7.76,0
4.908,5.033,41.857,2.471,1.0,4.521,3.5532,Regular yogurt,8.44,8.23,2
4.7589999999999995,5.428999999999999,41.101000000000006,2.6260000000000003,1.037,4.5760000000000005,1.003,Non fat yogurt,9.11,7.98,1
5.153,5.971,41.013999999999996,2.556,0.977,4.566,2.74,Low fat yogurt,10.02,8.65,0
4.612,4.29,41.438,2.6719999999999997,1.169,4.454,2.0743,Low fat yogurt,7.2,7.74,0
5.736000000000001,4.461,40.09,2.5,1.052,4.495,2.2102,Low fat yogurt,7.48,9.62,0
4.76,5.2139999999999995,40.094,2.537,1.128,4.474,3.233,Low fat yogurt,8.75,7.99,0
4.7989999999999995,4.571000000000001,41.722,2.414,1.071,4.471,2.1885,Low fat yogurt,7.67,8.05,0
5.2620000000000005,5.254,40.983999999999995,2.645,1.133,4.436,3.484,Regular yogurt,8.81,8.83,2
4.806,5.544,41.608000000000004,2.583,0.963,4.5680000000000005,1.6724,Low fat yogurt,9.3,8.06,0
4.023,5.44,41.864,2.642,1.08,4.529,3.737,Regular yogurt,9.13,6.75,2
5.985,4.3069999999999995,40.623000000000005,2.475,1.177,4.465,2.9597,Low fat yogurt,7.23,10.04,0
4.843,4.056,41.516999999999996,2.688,0.978,4.539,1.595,Low fat yogurt,6.8,8.13,0
5.968,4.666,41.36,2.552,1.173,4.512,3.3466,Regular yogurt,7.83,10.01,2
5.754,4.75,40.872,2.6210000000000004,1.119,4.426,3.9156,Regular yogurt,7.97,9.65,2
5.711,4.765,41.821999999999996,2.5380000000000003,1.0959999999999999,4.5,1.4257,Low fat yogurt,7.99,9.58,0
5.9879999999999995,4.81,40.58,2.6210000000000004,1.068,4.507,3.9029,Regular yogurt,8.07,10.05,2
4.664,4.479,40.428000000000004,2.6010000000000004,1.135,4.473,2.1032,Low fat yogurt,7.51,7.82,0
5.997000000000001,5.985,40.78,2.6430000000000002,0.965,4.476,1.6097,Low fat yogurt,10.04,10.06,0
4.832,5.485,40.949,2.6060000000000003,1.0659999999999998,4.593,3.8067,Regular yogurt,9.2,8.11,2
5.502000000000001,4.9510000000000005,41.306999999999995,2.64,0.973,4.598,3.8557,Regular yogurt,8.31,9.23,2
4.1,4.247,41.081,2.48,1.141,4.524,1.278,Low fat yogurt,7.13,6.88,0
5.962000000000001,4.0680000000000005,41.641000000000005,2.636,1.166,4.439,3.1842,Low fat yogurt,6.82,10.0,0
4.829,5.702000000000001,40.568000000000005,2.492,1.013,4.578,2.8583,Low fat yogurt,9.57,8.1,0
4.425,5.74,41.548,2.5869999999999997,1.062,4.409,3.1264,Low fat yogurt,9.63,7.42,0
4.3260000000000005,4.612,40.202,2.5269999999999997,1.068,4.546,3.2265,Low fat yogurt,7.74,7.26,0
4.455,5.595,41.201,2.5380000000000003,1.0090000000000001,4.537,2.7958,Low fat yogurt,9.39,7.47,0
4.387,5.856,41.795,2.546,1.071,4.477,1.5429,Low fat yogurt,9.82,7.36,0
5.233,4.052,40.961000000000006,2.545,0.95,4.43,1.9898,Low fat yogurt,6.8,8.78,0
4.883,5.6339999999999995,41.873000000000005,2.679,1.124,4.571000000000001,3.2699,Regular yogurt,9.45,8.19,2
5.662999999999999,5.4510000000000005,41.728,2.543,1.181,4.423,1.6802,Low fat yogurt,9.15,9.5,0
5.946000000000001,4.599,40.516999999999996,2.563,0.977,4.446000000000001,1.6926,Low fat yogurt,7.72,9.98,0
5.547999999999999,5.432,40.885999999999996,2.565,1.001,4.583,1.2249,Low fat yogurt,9.11,9.31,0
5.506,5.271,40.747,2.681,1.053,4.46,1.161,Low fat yogurt,8.84,9.24,0
5.388999999999999,4.298,40.764,2.447,0.9520000000000001,4.466,3.9912,Regular yogurt,7.21,9.04,2
5.736000000000001,4.585,40.532,2.551,1.172,4.5680000000000005,2.5547,Low fat yogurt,7.69,9.62,0
5.525,5.765,41.777,2.62,0.951,4.473,3.3824,Regular yogurt,9.67,9.27,2
5.524,4.297,41.126000000000005,2.642,1.171,4.558,2.0033,Low fat yogurt,7.21,9.27,0
5.7620000000000005,4.574,40.71,2.471,1.1079999999999999,4.422,2.0792,Low fat yogurt,7.67,9.67,0
5.343999999999999,5.787999999999999,40.796,2.694,0.98,4.43,3.2247,Low fat yogurt,9.71,8.97,0
5.055,4.752,41.724,2.63,1.113,4.5089999999999995,1.3198,Low fat yogurt,7.97,8.48,0
4.7780000000000005,5.529,40.398,2.617,1.13,4.518,2.969,Low fat yogurt,9.28,8.02,0
5.571000000000001,4.949,40.383,2.661,1.177,4.5760000000000005,1.6546,Low fat yogurt,8.3,9.35,0
4.225,5.64,40.094,2.6460000000000004,1.183,4.571000000000001,1.0706,Non fat yogurt,9.46,7.09,1
4.81,5.962999999999999,41.443999999999996,2.6889999999999996,0.9740000000000001,4.408,2.5451,Low fat yogurt,10.0,8.07,0
4.266,4.103,41.833999999999996,2.469,1.171,4.474,1.6512,Low fat yogurt,6.88,7.16,0
5.138,5.7,41.748000000000005,2.481,1.038,4.575,2.2166,Low fat yogurt,9.56,8.62,0
5.869,4.931,41.797,2.612,0.982,4.545,3.0857,Low fat yogurt,8.27,9.85,0
5.1160000000000005,4.497,40.535,2.6639999999999997,1.016,4.426,1.4388,Low fat yogurt,7.54,8.58,0
4.999,5.167999999999999,41.647,2.67,1.063,4.532,3.3654,Regular yogurt,8.67,8.39,2
5.348,5.966,40.743,2.5580000000000003,0.987,4.444,2.2284,Low fat yogurt,10.01,8.97,0
5.3020000000000005,4.043,41.153999999999996,2.546,1.002,4.5889999999999995,3.8128,Regular yogurt,6.78,8.9,2
4.734,4.832,40.5,2.488,1.085,4.534,3.0067,Low fat yogurt,8.11,7.94,0
5.035,5.281000000000001,40.341,2.458,0.965,4.5680000000000005,3.6994,Regular yogurt,8.86,8.45,2
4.9,4.897,41.355,2.66,1.095,4.596,2.1338,Low fat yogurt,8.22,8.22,0
4.048,5.332000000000001,41.717,2.465,1.0959999999999999,4.569,2.5443,Low fat yogurt,8.95,6.79,0
5.0360000000000005,5.968999999999999,41.92,2.56,1.167,4.513999999999999,1.7871,Low fat yogurt,10.01,8.45,0
4.423,4.0969999999999995,41.226000000000006,2.603,1.041,4.45,3.1931,Low fat yogurt,6.87,7.42,0
5.542999999999999,5.394,41.47,2.565,1.031,4.4,1.8984,Low fat yogurt,9.05,9.3,0
5.816,4.118,40.827,2.42,1.189,4.565,3.3978,Regular yogurt,6.91,9.76,2
4.147,4.468999999999999,40.731,2.673,0.968,4.567,2.1756,Low fat yogurt,7.5,6.96,0
4.271,5.348,41.49100000000001,2.5839999999999996,1.145,4.58,1.3459,Low fat yogurt,8.97,7.17,0
5.42,5.3420000000000005,40.244,2.421,1.008,4.5280000000000005,2.273,Low fat yogurt,8.96,9.09,0
5.156000000000001,5.1339999999999995,41.958999999999996,2.6239999999999997,1.11,4.473,2.5944,Low fat yogurt,8.61,8.65,0
5.624,4.1,40.727,2.53,1.091,4.573,3.0637,Low fat yogurt,6.88,9.44,0
5.468,5.39,41.715,2.597,1.178,4.562,2.8801,Low fat yogurt,9.04,9.17,0
5.629,4.524,40.176,2.434,1.093,4.58,1.159,Low fat yogurt,7.59,9.44,0
4.581,5.428,41.931999999999995,2.544,1.185,4.478,1.9214,Low fat yogurt,9.11,7.69,0
4.479,4.415,40.903,2.521,1.079,4.473,3.7037,Regular yogurt,7.41,7.51,2
5.008,4.91,40.593,2.464,1.15,4.504,1.5982,Low fat yogurt,8.24,8.4,0
4.665,4.265,41.583999999999996,2.4819999999999998,1.0070000000000001,4.542,1.655,Low fat yogurt,7.16,7.83,0
4.2589999999999995,4.099,40.631,2.616,1.0759999999999998,4.519,2.2733,Low fat yogurt,6.88,7.15,0
4.663,4.747,41.011,2.6519999999999997,0.982,4.437,3.5588,Regular yogurt,7.96,7.82,2
4.216,5.272,41.318000000000005,2.5380000000000003,1.051,4.488,2.5464,Low fat yogurt,8.84,7.07,0
4.031000000000001,5.226,40.156,2.665,1.097,4.535,2.641,Low fat yogurt,8.77,6.76,0
5.608,4.872,41.706,2.6210000000000004,1.05,4.459,1.8284,Low fat yogurt,8.17,9.41,0
5.382000000000001,5.452000000000001,40.021,2.499,0.9570000000000001,4.42,3.1561,Low fat yogurt,9.15,9.03,0
5.466,5.019,41.136,2.434,1.032,4.437,1.2357,Low fat yogurt,8.42,9.17,0
5.651,4.165,40.516,2.5869999999999997,0.9670000000000001,4.461,2.0378,Low fat yogurt,6.99,9.48,0
5.231,5.64,40.239000000000004,2.645,1.148,4.426,3.5176,Regular yogurt,9.46,8.78,2
4.967,4.454,40.086999999999996,2.5639999999999996,1.127,4.416,3.6427,Regular yogurt,7.47,8.33,2
4.734,4.441,41.187,2.436,1.176,4.416,1.1985,Low fat yogurt,7.45,7.94,0
5.662999999999999,5.167999999999999,40.975,2.573,1.1420000000000001,4.5089999999999995,3.4158,Regular yogurt,8.67,9.5,2
4.7410000000000005,4.4719999999999995,40.588,2.509,0.9670000000000001,4.593999999999999,2.449,Low fat yogurt,7.5,7.95,0
4.062,4.11,40.175,2.675,1.0959999999999999,4.5680000000000005,1.9262,Low fat yogurt,6.9,6.81,0
5.122000000000001,5.042,40.275,2.647,1.119,4.488,2.3841,Low fat yogurt,8.46,8.59,0
5.848,5.43,40.672,2.403,1.103,4.487,2.0163,Low fat yogurt,9.11,9.81,0
5.635,5.585,41.691,2.65,1.014,4.569,2.2792,Low fat yogurt,9.37,9.45,0
4.185,5.895,40.425,2.5540000000000003,0.975,4.413,3.8737,Regular yogurt,9.89,7.02,2
5.296,4.584,41.083999999999996,2.694,1.097,4.5360000000000005,2.8871,Low fat yogurt,7.69,8.89,0
5.268,4.977,40.029,2.418,0.9890000000000001,4.44,3.2323,Low fat yogurt,8.35,8.84,0
5.611000000000001,5.808,41.278,2.43,1.004,4.593,2.6007,Low fat yogurt,9.74,9.41,0
4.444,5.4510000000000005,40.815,2.694,1.161,4.5489999999999995,1.4376,Low fat yogurt,9.15,7.46,0
4.963,4.559,41.445,2.4730000000000003,1.047,4.5280000000000005,1.215,Low fat yogurt,7.65,8.33,0
4.532,5.226,40.098,2.505,1.0290000000000001,4.497,3.1107,Low fat yogurt,8.77,7.6,0
4.887,5.167999999999999,41.378,2.62,0.9670000000000001,4.438,3.7901,Regular yogurt,8.67,8.2,2
4.651,5.32,40.953,2.6639999999999997,1.073,4.526,1.886,Low fat yogurt,8.93,7.8,0
5.152,4.088,40.084,2.445,1.094,4.475,1.493,Low fat yogurt,6.86,8.64,0
4.247,5.727,41.013999999999996,2.523,1.085,4.452,2.6381,Low fat yogurt,9.61,7.13,0
5.3229999999999995,5.977,41.744,2.5469999999999997,1.12,4.552,3.1932,Low fat yogurt,10.03,8.93,0
5.351,4.2,41.07,2.589,1.042,4.526,3.8511,Regular yogurt,7.05,8.98,2
5.667000000000001,5.968999999999999,41.071999999999996,2.585,1.11,4.418,1.5382,Low fat yogurt,10.01,9.51,0
5.275,5.447,41.278999999999996,2.52,1.025,4.441,1.5938,Low fat yogurt,9.14,8.85,0
4.6080000000000005,5.162000000000001,40.253,2.443,0.956,4.433,1.7488,Low fat yogurt,8.66,7.73,0
4.7010000000000005,4.221,40.705999999999996,2.525,1.072,4.567,1.2706,Low fat yogurt,7.08,7.89,0
4.19,5.6160000000000005,40.434,2.648,1.0190000000000001,4.51,3.9610000000000003,Regular yogurt,9.42,7.03,2
5.082,4.7669999999999995,41.888000000000005,2.4019999999999997,1.0659999999999998,4.4239999999999995,3.3544,Regular yogurt,8.0,8.53,2
5.14,5.593,41.967,2.529,1.003,4.532,1.649,Low fat yogurt,9.38,8.62,0
5.683,5.794,41.847,2.489,1.079,4.535,2.6322,Low fat yogurt,9.72,9.53,0
5.263999999999999,5.194,40.423,2.687,1.069,4.463,2.3149,Low fat yogurt,8.71,8.83,0
4.643,4.843,41.876999999999995,2.6180000000000003,1.151,4.495,1.9897,Low fat yogurt,8.13,7.79,0
5.374,4.434,40.231,2.688,1.124,4.487,3.2627,Regular yogurt,7.44,9.02,2
4.007,5.581,41.12,2.461,1.093,4.412,3.1956,Low fat yogurt,9.36,6.72,0
4.253,4.126,41.2,2.487,1.042,4.593,3.2343,Low fat yogurt,6.92,7.14,0
5.0169999999999995,4.9110000000000005,41.46,2.6489999999999996,1.1440000000000001,4.493,3.4217,Regular yogurt,8.24,8.42,2
5.553,5.265,40.876999999999995,2.4019999999999997,1.102,4.414,2.6387,Low fat yogurt,8.83,9.32,0
5.494,4.137,41.461999999999996,2.452,1.037,4.405,3.3664,Regular yogurt,6.94,9.22,2
5.101,5.0089999999999995,41.068999999999996,2.474,1.127,4.4110000000000005,3.1909,Low fat yogurt,8.4,8.56,0
5.266,5.997999999999999,41.163000000000004,2.605,1.018,4.493,2.6349,Low fat yogurt,10.06,8.83,0
5.042,4.89,40.415,2.439,1.133,4.447,3.0392,Low fat yogurt,8.2,8.46,0
4.191,4.734,41.471000000000004,2.5669999999999997,1.041,4.4319999999999995,3.8464,Regular yogurt,7.94,7.03,2
5.462000000000001,4.468999999999999,41.501999999999995,2.5269999999999997,1.179,4.525,2.0171,Low fat yogurt,7.5,9.16,0
5.212000000000001,5.647,40.341,2.522,1.1540000000000001,4.467,1.709,Low fat yogurt,9.47,8.74,0
4.305,4.29,40.201,2.541,0.98,4.501,3.8681,Regular yogurt,7.2,7.22,2
5.751,4.218999999999999,41.081,2.61,0.971,4.502,2.818,Low fat yogurt,7.08,9.65,0
4.916,4.942,41.50899999999999,2.6919999999999997,1.0,4.416,1.7128,Low fat yogurt,8.29,8.25,0
5.266,4.088,40.282,2.53,0.9990000000000001,4.406000000000001,3.5987,Regular yogurt,6.86,8.83,2
5.635,4.992,40.806999999999995,2.674,1.024,4.467,1.2207,Low fat yogurt,8.38,9.45,0
4.953,4.917,41.45,2.489,1.126,4.564,2.3016,Low fat yogurt,8.25,8.31,0
4.379,4.266,40.336999999999996,2.4130000000000003,1.031,4.417,3.8349,Regular yogurt,7.16,7.35,2
4.662,5.564,40.715,2.491,0.9790000000000001,4.4510000000000005,3.2618,Regular yogurt,9.33,7.82,2
4.124,4.335,41.871,2.426,0.953,4.53,1.1429,Low fat yogurt,7.27,6.92,0
